County,Sociology,Mathematics,Politics,Music
Bedfordshire,12,27.84,15.48,29.04
Berkshire,10.56,35.16,24.72,37.8
Buckinghamshire,11.64,39.24,32.04,46.32
Cambridgeshire,13.68,35.16,22.2,22.68
Cheshire,13.56,34.32,26.04,31.32
Cornwall,8.28,32.28,8.16,46.2
County of Bristol,11.64,37.68,27,32.04
Cumbria,12.72,26.52,12.96,24
Derbyshire,11.64,32.4,25.8,42.36
Devon,10.08,33.6,21.12,21.48
Dorset,12.84,33,14.16,45.48
Durham,11.88,31.8,21.36,22.32
East Riding of Yorkshire,11.4,21.72,18.6,26.28
East Sussex,13.44,43.32,30.24,34.32
Essex,11.88,32.4,25.2,29.76
Gloucestershire,12.36,37.2,30.6,31.44
Greater London,14.52,37.68,24,45.48
Greater Manchester,11.28,30,26.04,33.12
Hampshire,12.84,29.88,21.48,25.8
Herefordshire,12.72,27.96,11.28,5.4
Hertfordshire,17.52,42,30.96,37.44
Isle of Wight,13.2,22.2,46.2,0
Kent,12.36,31.56,22.92,38.16
Lancashire,18.6,24.48,21.84,28.44
Leicestershire,14.28,27,19.08,27.48
Lincolnshire,15.96,28.8,20.64,23.04
Merseyside,9,26.4,16.68,31.44
Norfolk,20.4,32.52,17.4,36
North Yorkshire,10.8,33.96,23.64,36
Northamptonshire,12.36,30.96,22.08,37.56
Northumberland,7.8,28.56,12,46.2
Nottinghamshire,12.96,34.68,25.68,36
Oxfordshire,14.28,43.8,42.72,49.92
Rutland,0,44.52,28.08,13.32
Shropshire,6.84,46.68,20.52,20.04
Somerset,13.44,34.2,20.04,31.8
South Yorkshire,14.52,28.2,19.92,21.12
Staffordshire,9.84,27.96,24,27.12
Suffolk,16.08,31.44,19.2,35.28
Surrey,11.64,41.76,30.36,54.24
Tyne and Wear,11.76,30.72,28.08,26.04
Warwickshire,14.76,37.32,29.28,51.84
West Midlands,9.72,26.04,14.88,30
West Sussex,14.04,32.88,24,30.84
West Yorkshire,12.72,28.44,16.8,18.72
Wiltshire,12.96,33.24,28.2,25.68
Worcestershire,11.04,28.68,17.64,15.48